work_id,author_id,position
W4309582920,A5029096221,last
W4309582920,A5058515816,first
W4309582920,A5079817780,middle
W4309643846,A5072011650,last
W4309643846,A5087022976,first
W4309643846,A5103010371,middle
W4309648563,A5011543714,middle
W4309648563,A5011947453,middle
W4309648563,A5019810689,first
W4309648563,A5105826134,last
W4309782696,A5017613139,middle
W4309782696,A5017968460,last
W4309782696,A5039465981,first
W4309782696,A5053928029,middle
W4309796907,A5069345461,last
W4309796907,A5091890229,first
W4309796916,A5022510652,first
W4309796916,A5077042838,last
W4309796916,A5081492188,middle
W4309822222,A5042333849,last
W4309822222,A5058171262,middle
W4309822222,A5085332844,first
W4309867695,A5111189650,first
W4309889602,A5031433977,first
W4309889602,A5041766787,last
W4309913730,A5009260936,middle
W4309913730,A5061104105,last
W4309913730,A5100335555,middle
W4309913730,A5100749622,first
W4309913730,A5101524146,middle
W4309913730,A5103041851,middle
W4309925307,A5005343901,last
W4309925307,A5043953788,first
W4309925307,A5052555990,middle
W4309928656,A5046476267,middle
W4309928656,A5062944653,last
W4309928656,A5082763715,middle
W4309928656,A5101696199,first
W4309937154,A5005862664,middle
W4309937154,A5018712863,last
W4309937154,A5100691996,middle
W4309937154,A5101589112,first
W4310193546,A5023927737,middle
W4310193546,A5052898786,last
W4310193546,A5087726431,first
W4310193546,A5091191629,middle
W4310193697,A5001472078,first
W4310193697,A5003799782,last
W4310193697,A5069969191,middle
W4310193697,A5089438496,middle
W4310193697,A5100691996,middle
W4310193754,A5021484601,last
W4310193754,A5038252072,first
W4310193754,A5069086703,middle
W4310195170,A5001443386,middle
W4310195170,A5064274313,middle
W4310195170,A5083782170,last
W4310195170,A5100354485,middle
W4310195170,A5100402925,first
W4310195170,A5109617135,middle
W4310225030,A5032685699,first
W4310225030,A5046759145,last
W4310276548,A5023272733,first
W4310276548,A5084633261,last
W4310787317,A5019281107,first
W4310787317,A5068951317,middle
W4310787317,A5100440164,middle
W4310787317,A5100658008,middle
W4310787317,A5101568332,last
W4311031268,A5006421102,last
W4311031268,A5009900245,first
W4311031268,A5011563643,middle
W4311031268,A5016116871,middle
W4311035550,A5026310210,last
W4311035550,A5027935882,first
W4311035550,A5047141412,middle
W4311035665,A5002681447,middle
W4311035665,A5003729126,middle
W4311035665,A5015350333,first
W4311035665,A5103177922,last
W4311035665,A5112880589,middle
W4311165753,A5001128537,last
W4311165753,A5084474730,first
W4311183537,A5008695053,middle
W4311183537,A5025305363,first
W4311183537,A5037574053,last
W4311183537,A5038581447,middle
W4311183537,A5047390057,middle
W4311183537,A5059302775,middle
W4311183537,A5060080598,middle
W4311273559,A5057490206,first
W4311273559,A5069541151,middle
W4311273559,A5080190737,last
W4311273559,A5081965427,middle
W4311305999,A5001443974,middle
W4311305999,A5054951713,middle
W4311305999,A5072431554,last
W4311305999,A5076657750,middle
W4311305999,A5100608377,middle
W4311305999,A5101697326,first
W4311362391,A5006060295,first
W4311362391,A5054194585,middle
W4311362391,A5087419173,last
W4311375214,A5013640755,first
W4311464455,A5040477292,first
W4311464757,A5068159502,first
W4311464757,A5100619255,middle
W4311464757,A5101488949,last
W4311464757,A5101971313,middle
W4311599520,A5021162862,first
W4311599520,A5039356472,last
W4311607213,A5036801346,middle
W4311607213,A5051406984,last
W4311607213,A5053058502,middle
W4311607213,A5059002491,first
W4311607213,A5065910481,middle
W4311607213,A5100784818,middle
W4311625992,A5002539501,middle
W4311625992,A5014992894,first
W4311625992,A5026147454,last
W4311629995,A5039475467,first
W4311629995,A5066789830,last
W4311629995,A5070937376,middle
W4311629995,A5071900228,middle
W4311710860,A5024147005,last
W4311710860,A5077442223,first
W4311954044,A5002588126,first
W4311954044,A5024274621,last
W4312059150,A5004057129,middle
W4312059150,A5005831779,middle
